"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"FPS","USA","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","WEU","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","WORLD","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3803623,130.0800398,221.1594923,312.3811167,403.3253766,404.4663337,404.9519871,404.9543887,404.6206264,406.7490677
"FPS","AUS","Capacity","Electricity generation","Oil","Power","GW",3.557354761,3.525748178,3.479832636,3.416318365,3.328114632,3.209199058,3.053441525,2.858023926,2.621743092,2.348896268,2.049755344,1.740307771,1.437997501,1.157771595,0.911002422,0.703129147,0.533810547,0.399934581,0.296502706,0.217945711,0,0,0,0,0,0,0,0,0,0,0
"FPS","BRA","Capacity","Electricity generation","Oil","Power","GW",8.981535351,9.102526983,9.196932635,9.257351568,9.270269323,9.224364992,9.069126009,8.841982068,8.532581961,8.155146445,7.684825352,7.093360385,6.440248841,5.746447927,5.038520313,4.343026747,3.678227183,3.067392847,2.522445027,2.048669199,1.646185215,1.309355859,1.033302259,0.8099206,0.631166695,0,0,0,0,0,0
"FPS","CAN","Capacity","Electricity generation","Oil","Power","GW",5.112313609,4.96386404,4.692945486,4.23190425,3.534536958,2.656281141,1.776246112,1.070091255,0.597873468,0.319286589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","CHN","Capacity","Electricity generation","Oil","Power","GW",16.09080474,16.66766535,17.21207294,17.69531665,18.10338555,18.39578097,18.28238842,18.0017113,17.52593496,16.83349752,15.92028986,14.66813415,13.27170009,11.77991177,10.25150633,8.752751782,7.311110036,6.007323417,4.864834032,3.889615237,3.077599688,2.408035687,1.870185428,1.443746654,1.109210405,0,0,0,0,0,0
"FPS","CSA","Capacity","Electricity generation","Oil","Power","GW",47.89007847,49.03472439,50.07150204,50.88822032,51.48014021,51.81809099,51.79001864,51.37010691,50.46672352,49.03717793,46.98863922,44.1773423,40.83186908,37.05680184,33.01034901,28.87618635,24.79088155,20.93051354,17.40278,14.27268476,11.56796752,9.272595417,7.366848731,5.808593957,4.55021518,0,0,0,0,0,0
"FPS","EEU","Capacity","Electricity generation","Oil","Power","GW",1.985693141,1.967565989,1.942805556,1.908787407,1.860091847,1.795535217,1.709842877,1.602225435,1.471647904,1.320395177,1.155382778,0.983616328,0.815023795,0.657513743,0.517357104,0.398184444,0.300604753,0.223483018,0.164105851,0.11926675,0,0,0,0,0,0,0,0,0,0,0
"FPS","EURA","Capacity","Electricity generation","Oil","Power","GW",9.493122598,9.766825485,10.01838582,10.2381778,10.39071535,10.48290591,10.42307018,10.26227897,9.985885472,9.582360974,9.055206518,8.362504546,7.582879531,6.744937254,5.887211801,5.045324357,4.238215335,3.507005082,2.863756035,2.312082288,1.849041265,1.463075848,1.150550605,0.900436762,0.701551167,0,0,0,0,0,0
"FPS","GCC","Capacity","Electricity generation","Oil","Power","GW",56.85424361,57.16134003,57.42312448,57.58620078,57.45701967,57.24271794,56.85458207,56.35378795,55.74410984,55.17394905,54.46658063,53.53639015,52.48470489,51.2890741,49.94358617,48.43994486,46.70771405,44.81495647,42.75881674,40.5460676,38.19905302,35.67379729,33.06567535,30.40970702,27.74537019,25.11749279,22.5331903,20.06072191,17.73026081,15.56311297,13.57536644
"FPS","IND","Capacity","Electricity generation","Oil","Power","GW",3.98279981,4.172406592,4.35860256,4.538454568,4.703765396,4.84911638,4.935523021,4.983003037,4.980777514,4.914989927,4.781224582,4.531436507,4.223835854,3.866995824,3.475609261,3.067645458,2.653382951,2.258206306,1.893886261,1.567458974,1.282434532,1.036114045,0.829987349,0.660102057,0.521978365,0,0,0,0,0,0
"FPS","IDN","Capacity","Electricity generation","Oil","Power","GW",6.914724486,7.506445576,8.119517964,8.742784616,9.356241391,9.939424918,10.33549242,10.64127519,10.82394012,10.85126445,10.69817119,10.23535215,9.606337256,8.834250713,7.9577933,7.024561491,6.058187798,5.133269615,4.280303565,3.51850866,2.856744473,2.286927776,1.814650794,1.42909756,1.118205554,0,0,0,0,0,0
"FPS","JPN","Capacity","Electricity generation","Oil","Power","GW",30.18028057,29.51057409,28.78810354,27.98776338,27.08651028,26.07692417,24.95236001,23.68875258,22.26452824,20.67510374,18.93131476,17.08378271,15.16049048,13.2127174,11.31039286,9.514549822,7.868911619,6.405202108,5.138452052,4.068644687,3.18551487,2.471155626,1.901314066,1.453127225,1.104160385,0,0,0,0,0,0
"FPS","MENA","Capacity","Electricity generation","Oil","Power","GW",49.50799501,51.48295859,53.52862723,55.65419285,57.83877043,60.01638538,62.02990843,64.08972055,66.21020163,68.45292987,70.6604308,72.52548304,74.24214008,75.69171159,76.76625701,77.36969835,77.22916016,76.43090384,74.94031563,72.73395469,69.84754665,66.26170316,62.19738666,57.78281948,53.1586725,48.46152087,43.75336376,39.17863538,34.81415221,30.72190889,26.94264398
"FPS","RUS","Capacity","Electricity generation","Oil","Power","GW",14.19938403,14.55884515,14.93714192,15.32621971,15.67939706,16.02547818,16.33234797,16.63585515,16.91877881,17.16779699,17.40898847,17.43120064,17.40977426,17.34599076,17.23109011,17.05169275,16.77013133,16.40761476,15.95052534,15.38889319,14.71645659,13.90476595,12.99496471,12.00316892,10.96254888,9.898731794,8.824052371,7.763736131,6.740170545,5.775317029,4.890801411
"FPS","SA","Capacity","Electricity generation","Oil","Power","GW",15.75153255,16.58685528,17.4089145,18.20402587,18.93425233,19.57981171,20.04564189,20.31949986,20.35241202,20.09983529,19.53741489,18.41619515,17.0643704,15.53478297,13.89599923,12.22430714,10.59012362,9.058553024,7.668759377,6.438675071,5.370848746,4.452147847,3.67675756,3.026187199,2.483429989,0,0,0,0,0,0
"FPS","ZAF","Capacity","Electricity generation","Oil","Power","GW",2.854230049,2.888538364,2.910549625,2.91667662,2.897432657,2.848052558,2.754146394,2.616515856,2.434143431,2.210105644,1.95352271,1.676262178,1.39903415,1.137354616,0.903276748,0.703377015,0.537991723,0.405941209,0.302993786,0.224181293,0,0,0,0,0,0,0,0,0,0,0
"FPS","SEAO","Capacity","Electricity generation","Oil","Power","GW",22.26642846,22.69117554,23.07763053,23.41210498,23.65710483,23.78898681,23.71468022,23.45625225,22.97566179,22.2380363,21.22301109,19.8424314,18.23506289,16.44697254,14.55445348,12.64249473,10.77815707,9.039737692,7.471734731,6.09618275,4.918547653,3.926881583,3.109924803,2.446263455,1.913326731,0,0,0,0,0,0
"FPS","KOR","Capacity","Electricity generation","Oil","Power","GW",2.37027134,2.358102865,2.338915905,2.311204977,2.270671645,2.216506203,2.146515478,2.061535761,1.959695895,1.839160914,1.70228481,1.547951454,1.380963778,1.208777168,1.037937608,0.874856308,0.7231906,0.588125205,0.471531922,0.373522555,0.292814449,0.227418605,0.17538797,0.134406124,0.102415434,0,0,0,0,0,0
"FPS","SSA","Capacity","Electricity generation","Oil","Power","GW",12.16929351,13.48426969,14.81252138,16.13498856,17.41874564,18.62912702,19.68014867,20.54062737,21.14682442,21.43552794,21.35696902,20.22059605,18.84024924,17.26972604,15.57800102,13.8429023,12.13750749,10.530617,9.06033226,7.745200746,6.588434926,5.580198158,4.712235768,3.967335398,3.330358034,0,0,0,0,0,0
"FPS","GBR","Capacity","Electricity generation","Oil","Power","GW",3.607818933,3.487396635,3.29168083,2.971993584,2.487253444,1.877627166,1.263320396,0.767647151,0.433246365,0.233758811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","USA","Capacity","Electricity generation","Oil","Power","GW",33.65939148,32.61405283,30.78545039,27.72106539,23.10759353,17.35235402,11.57525329,6.953531998,3.874212712,2.061159681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
